"month","year","fake"
"Jan",2014,3
"Feb",2014,4
"Mar",2014,4
"Apr",2014,2
"May",2014,1
"Jun",2014,2
"Jul",2014,2
"Aug",2014,1
"Sep",2014,1
"Oct",2014,1
"Nov",2014,5
"Dec",2014,3
"Jan",2015,2
"Feb",2015,2
"Mar",2015,3
"Apr",2015,0
"May",2015,4
"Jun",2015,1
"Jul",2015,1
"Aug",2015,3
"Sep",2015,1
"Oct",2015,3
"Nov",2015,2
"Dec",2015,2
"Jan",2016,1
"Feb",2016,1
"Mar",2016,4
"Apr",2016,6
"May",2016,2
"Jun",2016,1
"Jul",2016,7
"Aug",2016,6
"Sep",2016,3
"Oct",2016,2
"Nov",2016,3
"Dec",2016,5
"Jan",2017,9
"Feb",2017,2
"Mar",2017,4
"Apr",2017,8
"May",2017,6
"Jun",2017,9
"Jul",2017,10
"Aug",2017,6
"Sep",2017,4
"Oct",2017,10
"Nov",2017,4
"Dec",2017,8
"Jan",2018,12
"Feb",2018,7
"Mar",2018,7
"Apr",2018,6
"May",2018,8
"Jun",2018,7
"Jul",2018,10
"Aug",2018,7
"Sep",2018,6
"Oct",2018,9
"Nov",2018,12
"Dec",2018,4
"Jan",2019,8
"Feb",2019,7
"Mar",2019,3
